 frequency       v(finalp,finaln) v(finalp,finaln) v(v1p,v1n)      v(v1p,v1n)      v(vga1p,vga1n)  v(vga1p,vga1n)  v(v2p,v2n)      v(v2p,v2n)      v(vga2p,vga2n)  v(vga2p,vga2n)  v(bufinp,bufinn) v(bufinp,bufinn) v(outp,outn)    v(outp,outn)   
 5.24807460e+06  3.24556538e+03  1.65469027e+03 -4.70825988e+02 -5.52903923e+01  5.27773157e+02  6.16907431e+01  5.02250619e+02  1.40204427e+02 -2.44483687e+03 -6.80883145e+02 -2.20681661e+03 -1.12565650e+03  3.24649008e+03  1.65534043e+03 
 5.37031796e+06  3.26848129e+03  1.62314126e+03 -4.71111996e+02 -5.40639629e+01  5.28090697e+02  6.03205154e+01  5.03522619e+02  1.37241693e+02 -2.45099884e+03 -6.66484614e+02 -2.22239897e+03 -1.10421602e+03  3.26941276e+03  1.62378606e+03 
 5.49540874e+06  3.29049196e+03  1.59192501e+03 -4.71385459e+02 -5.28632800e+01  5.28394302e+02  5.89790527e+01  5.04740768e+02  1.34331451e+02 -2.45689981e+03 -6.52341570e+02 -2.23736579e+03 -1.08300208e+03  3.29142992e+03  1.59256463e+03 
 5.62341325e+06  3.31162777e+03  1.56105663e+03 -4.71646913e+02 -5.16878969e+01  5.28684570e+02  5.76658534e+01  5.05907202e+02  1.31473440e+02 -2.46255013e+03 -6.38452711e+02 -2.25173774e+03 -1.06202496e+03  3.31257198e+03  1.56169126e+03 
 5.75439937e+06  3.33191859e+03  1.53054964e+03 -4.71896874e+02 -5.05373684e+01  5.28962072e+02  5.63804174e+01  5.07023983e+02  1.28667349e+02 -2.46795982e+03 -6.24816488e+02 -2.26553510e+03 -1.04129386e+03  3.33286879e+03  1.53117949e+03 
 5.88843655e+06  3.35139366e+03  1.50041611e+03 -4.72135834e+02 -4.94112508e+01  5.29227356e+02  5.51222467e+01  5.08093105e+02  1.25912821e+02 -2.47313855e+03 -6.11431133e+02 -2.27877777e+03 -1.02081700e+03  3.35234961e+03  1.50104138e+03 
 6.02559586e+06  3.37008164e+03  1.47066671e+03 -4.72364267e+02 -4.83091028e+01  5.29480950e+02  5.38908459e+01  5.09116490e+02  1.23209456e+02 -2.47809564e+03 -5.98294674e+02 -2.29148524e+03 -1.00060164e+03  3.37104311e+03  1.47128761e+03 
 6.16595002e+06  3.38801052e+03  1.44131080e+03 -4.72582627e+02 -4.72304858e+01  5.29723357e+02  5.26857228e+01  5.10095994e+02  1.20556817e+02 -2.48284009e+03 -5.85404953e+02 -2.30367653e+03 -9.80654145e+02  3.38897729e+03  1.44192754e+03 
 6.30957344e+06  3.40520765e+03  1.41235651e+03 -4.72791349e+02 -4.61749642e+01  5.29955062e+02  5.15063888e+01  5.11033406e+02  1.17954431e+02 -2.48738059e+03 -5.72759648e+02 -2.31537026e+03 -9.60980057e+02  3.40617950e+03  1.41296931e+03 
 6.45654229e+06  3.42169969e+03  1.38381082e+03 -4.72990851e+02 -4.51421059e+01  5.30176528e+02  5.03523591e+01  5.11930450e+02  1.15401794e+02 -2.49172548e+03 -5.60356282e+02 -2.32658453e+03 -9.41584125e+02  3.42267642e+03  1.38441990e+03 
