 frequency       v(finalp,finaln) v(finalp,finaln) v(v1p,v1n)      v(v1p,v1n)      v(vga1p,vga1n)  v(vga1p,vga1n)  v(v2p,v2n)      v(v2p,v2n)      v(vga2p,vga2n)  v(vga2p,vga2n)  v(bufinp,bufinn) v(bufinp,bufinn) v(outp,outn)    v(outp,outn)   
 4.07380278e+06  8.06114695e+03  4.83849587e+03 -5.59973399e+02 -4.98029749e+01  1.51809616e+03  1.34271984e+02  1.48785126e+03  2.66489809e+02 -6.70039195e+03 -1.19566115e+03 -5.56022412e+03 -3.33852177e+03  8.06114667e+03  4.83849632e+03 
 4.16869383e+06  8.13487397e+03  4.75001136e+03 -5.60171869e+02 -4.86830334e+01  1.51862957e+03  1.31244946e+02  1.48943842e+03  2.60590706e+02 -6.70747862e+03 -1.16918391e+03 -5.61108007e+03 -3.27751090e+03  8.13487369e+03  4.75001182e+03 
 4.26579519e+06  8.20576710e+03  4.66219878e+03 -5.60361538e+02 -4.75873599e+01  1.51913933e+03  1.28283364e+02  1.49095590e+03  2.54813340e+02 -6.71425400e+03 -1.14325372e+03 -5.65998124e+03 -3.21696406e+03  8.20576681e+03  4.66219926e+03 
 4.36515832e+06  8.27391477e+03  4.57511980e+03 -5.60542791e+02 -4.65154751e+01  1.51962646e+03  1.25385938e+02  1.49240668e+03  2.49155722e+02 -6.72073145e+03 -1.11786160e+03 -5.70698865e+03 -3.15692379e+03  8.27391448e+03  4.57512029e+03 
 4.46683592e+06  8.33940449e+03  4.48883076e+03 -5.60715995e+02 -4.54669056e+01  1.52009196e+03  1.22551386e+02  1.49379362e+03  2.43615855e+02 -6.72692377e+03 -1.09299854e+03 -5.75216262e+03 -3.09742897e+03  8.33940419e+03  4.48883127e+03 
 4.57088190e+06  8.40232258e+03  4.40338294e+03 -5.60881503e+02 -4.44411843e+01  1.52053677e+03  1.19778444e+02  1.49511947e+03  2.38191742e+02 -6.73284322e+03 -1.06865553e+03 -5.79556273e+03 -3.03851499e+03  8.40232228e+03  4.40338346e+03 
 4.67735141e+06  8.46275411e+03  4.31882280e+03 -5.61039654e+02 -4.34378502e+01  1.52096181e+03  1.17065863e+02  1.49638686e+03  2.32881385e+02 -6.73850159e+03 -1.04482356e+03 -5.83724764e+03 -2.98021391e+03  8.46275381e+03  4.31882334e+03 
 4.78630092e+06  8.52078271e+03  4.23519227e+03 -5.61190770e+02 -4.24564491e+01  1.52136794e+03  1.14412413e+02  1.49759833e+03  2.27682792e+02 -6.74391016e+03 -1.02149363e+03 -5.87727505e+03 -2.92255466e+03  8.52078241e+03  4.23519282e+03 
 4.89778819e+06  8.57649050e+03  4.15252895e+03 -5.61335160e+02 -4.14965330e+01  1.52175599e+03  1.11816880e+02  1.49875628e+03  2.22593973e+02 -6.74907975e+03 -9.98656792e+02 -5.91570159e+03 -2.86556320e+03  8.57649020e+03  4.15252952e+03 
 5.01187234e+06  8.62995794e+03  4.07086640e+03 -5.61473121e+02 -4.05576606e+01  1.52212676e+03  1.09278070e+02  1.49986304e+03  2.17612950e+02 -6.75402073e+03 -9.76304118e+02 -5.95258277e+03 -2.80926270e+03  8.62995764e+03  4.07086699e+03 
 5.12861384e+06  8.68126381e+03  3.99023436e+03 -5.61604936e+02 -3.96393976e+01  1.52248102e+03  1.06794806e+02  1.50092083e+03  2.12737753e+02 -6.75874303e+03 -9.54426739e+02 -5.98797293e+03 -2.75367368e+03  8.68126350e+03  3.99023497e+03 
 5.24807460e+06  8.73048508e+03  3.91065896e+03 -5.61730877e+02 -3.87413161e+01  1.52281948e+03  1.04365929e+02  1.50193178e+03  2.07966427e+02 -6.76325617e+03 -9.33015842e+02 -6.02192517e+03 -2.69881417e+03  8.73048478e+03  3.91065958e+03 
 5.37031796e+06  8.77769692e+03  3.83216294e+03 -5.61851201e+02 -3.78629953e+01  1.52314284e+03  1.01990300e+02  1.50289794e+03  2.03297028e+02 -6.76756928e+03 -9.12062678e+02 -6.05449133e+03 -2.64469990e+03  8.77769661e+03  3.83216359e+03 
 5.49540874e+06  8.82297260e+03  3.75476590e+03 -5.61966158e+02 -3.70040211e+01  1.52345179e+03  9.96667976e+01  1.50382126e+03  1.98727631e+02 -6.77169108e+03 -8.91558574e+02 -6.08572196e+03 -2.59134438e+03  8.82297230e+03  3.75476656e+03 
 5.62341325e+06  8.86638351e+03  3.67848443e+03 -5.62075985e+02 -3.61639862e+01  1.52374694e+03  9.73943182e+01  1.50470361e+03  1.94256324e+02 -6.77562994e+03 -8.71494933e+02 -6.11566628e+03 -2.53875909e+03  8.86638320e+03  3.67848511e+03 
 5.75439937e+06  8.90799907e+03  3.60333237e+03 -5.62180909e+02 -3.53424903e+01  1.52402892e+03  9.51717779e+01  1.50554678e+03  1.89881219e+02 -6.77939387e+03 -8.51863245e+02 -6.14437221e+03 -2.48695358e+03  8.90799876e+03  3.60333307e+03 
 5.88843655e+06  8.94788681e+03  3.52932095e+03 -5.62281147e+02 -3.45391400e+01  1.52429830e+03  9.29981107e+01  1.50635249e+03  1.85600442e+02 -6.78299054e+03 -8.32655088e+02 -6.17188630e+03 -2.43593563e+03  8.94788649e+03  3.52932167e+03 
 6.02559586e+06  8.98611226e+03  3.45645899e+03 -5.62376907e+02 -3.37535486e+01  1.52455564e+03  9.08722695e+01  1.50712238e+03  1.81412143e+02 -6.78642728e+03 -8.13862136e+02 -6.19825378e+03 -2.38571132e+03  8.98611194e+03  3.45645973e+03 
 6.16595002e+06  9.02273903e+03  3.38475305e+03 -5.62468387e+02 -3.29853364e+01  1.52480149e+03  8.87932254e+01  1.50785803e+03  1.77314494e+02 -6.78971113e+03 -7.95476160e+02 -6.22351852e+03 -2.33628521e+03  9.02273872e+03  3.38475381e+03 
 6.30957344e+06  9.05782881e+03  3.31420761e+03 -5.62555777e+02 -3.22341302e+01  1.52503634e+03  8.67599678e+01  1.50856094e+03  1.73305687e+02 -6.79284881e+03 -7.77489033e+02 -6.24772305e+03 -2.28766041e+03  9.05782849e+03  3.31420839e+03 
 6.45654229e+06  9.09144133e+03  3.24482519e+03 -5.62639260e+02 -3.14995639e+01  1.52526069e+03  8.47715044e+01  1.50923255e+03  1.69383938e+02 -6.79584676e+03 -7.59892735e+02 -6.27090859e+03 -2.23983867e+03  9.09144100e+03  3.24482599e+03 
 6.60693448e+06  9.12363442e+03  3.17660652e+03 -5.62719008e+02 -3.07812778e+01  1.52547500e+03  8.28268609e+01  1.50987425e+03  1.65547488e+02 -6.79871112e+03 -7.42679351e+02 -6.29311504e+03 -2.19282052e+03  9.12363410e+03  3.17660734e+03 
 6.76082975e+06  9.15446405e+03  3.10955068e+03 -5.62795188e+02 -3.00789192e+01  1.52567972e+03  8.09250810e+01  1.51048734e+03  1.61794602e+02 -6.80144781e+03 -7.25841077e+02 -6.31438099e+03 -2.14660533e+03  9.15446373e+03  3.10955152e+03 
 6.91830971e+06  9.18398432e+03  3.04365520e+03 -5.62867958e+02 -2.93921416e+01  1.52587528e+03  7.90652263e+01  1.51107310e+03  1.58123567e+02 -6.80406245e+03 -7.09370221e+02 -6.33474376e+03 -2.10119144e+03  9.18398399e+03  3.04365606e+03 
 7.07945784e+06  9.21224749e+03  2.97891619e+03 -5.62937470e+02 -2.87206054e+01  1.52606208e+03  7.72463759e+01  1.51163273e+03  1.54532698e+02 -6.80656044e+03 -6.93259204e+02 -6.35423940e+03 -2.05657617e+03  9.21224715e+03  2.97891708e+03 
 7.24435960e+06  9.23930403e+03  2.91532849e+03 -5.63003870e+02 -2.80639772e+01  1.52624052e+03  7.54676262e+01  1.51216738e+03  1.51020334e+02 -6.80894694e+03 -6.77500563e+02 -6.37290273e+03 -2.01275600e+03  9.23930370e+03  2.91532940e+03 
 7.41310241e+06  9.26520267e+03  2.85288572e+03 -5.63067296e+02 -2.74219301e+01  1.52641097e+03  7.37280910e+01  1.51267817e+03  1.47584841e+02 -6.81122689e+03 -6.62086949e+02 -6.39076736e+03 -1.96972653e+03  9.26520234e+03  2.85288666e+03 
 7.58577575e+06  9.28999041e+03  2.79158043e+03 -5.63127880e+02 -2.67941435e+01  1.52657377e+03  7.20269012e+01  1.51316614e+03  1.44224608e+02 -6.81340500e+03 -6.47011130e+02 -6.40786570e+03 -1.92748267e+03  9.28999007e+03  2.79158139e+03 
 7.76247117e+06  9.31371254e+03  2.73140418e+03 -5.63185749e+02 -2.61803032e+01  1.52672928e+03  7.03632042e+01  1.51363232e+03  1.40938053e+02 -6.81548579e+03 -6.32265993e+02 -6.42422901e+03 -1.88601859e+03  9.31371220e+03  2.73140516e+03 
 7.94328235e+06  9.33641275e+03  2.67234761e+03 -5.63241025e+02 -2.55801009e+01  1.52687782e+03  6.87361644e+01  1.51407766e+03  1.37723618e+02 -6.81747358e+03 -6.17844538e+02 -6.43988741e+03 -1.84532788e+03  9.33641240e+03  2.67234862e+03 
 8.12830516e+06  9.35813309e+03  2.61440055e+03 -5.63293823e+02 -2.49932347e+01  1.52701971e+03  6.71449622e+01  1.51450309e+03  1.34579772e+02 -6.81937250e+03 -6.03739887e+02 -6.45486992e+03 -1.80540354e+03  9.35813274e+03  2.61440158e+03 
