 frequency       v(finalp,finaln) v(finalp,finaln)
 2.69153480e+09 -1.06045907e+00 -9.49657752e-01 
 2.75422870e+09 -1.07704880e+00 -9.58885974e-01 
 2.81838293e+09 -1.09412492e+00 -9.68261020e-01 
 2.88403150e+09 -1.11171354e+00 -9.77772100e-01 
 2.95120923e+09 -1.12984130e+00 -9.87407057e-01 
 3.01995172e+09 -1.14853542e+00 -9.97152307e-01 
 3.09029543e+09 -1.16782366e+00 -1.00699276e+00 
 3.16227766e+09 -1.18773427e+00 -1.01691174e+00 
 3.23593657e+09 -1.20829601e+00 -1.02689091e+00 
 3.31131121e+09 -1.22953807e+00 -1.03691018e+00 
 3.38844156e+09 -1.25149007e+00 -1.04694763e+00 
 3.46736850e+09 -1.27418200e+00 -1.05697939e+00 
 3.54813389e+09 -1.29764416e+00 -1.06697957e+00 
 3.63078055e+09 -1.32190715e+00 -1.07692014e+00 
 3.71535229e+09 -1.34700176e+00 -1.08677085e+00 
 3.80189396e+09 -1.37295892e+00 -1.09649907e+00 
 3.89045145e+09 -1.39980961e+00 -1.10606974e+00 
 3.98107171e+09 -1.42758480e+00 -1.11544522e+00 
 4.07380278e+09 -1.45631530e+00 -1.12458516e+00 
 4.16869383e+09 -1.48603169e+00 -1.13344642e+00 
 4.26579519e+09 -1.51676421e+00 -1.14198290e+00 
 4.36515832e+09 -1.54854257e+00 -1.15014546e+00 
 4.46683592e+09 -1.58139584e+00 -1.15788177e+00 
 4.57088190e+09 -1.61535228e+00 -1.16513618e+00 
 4.67735141e+09 -1.65043916e+00 -1.17184962e+00 
 4.78630092e+09 -1.68668255e+00 -1.17795947e+00 
 4.89778819e+09 -1.72410714e+00 -1.18339943e+00 
 5.01187234e+09 -1.76273595e+00 -1.18809943e+00 
 5.12861384e+09 -1.80259016e+00 -1.19198549e+00 
 5.24807460e+09 -1.84368876e+00 -1.19497964e+00 
 5.37031796e+09 -1.88604831e+00 -1.19699985e+00 
 5.49540874e+09 -1.92968260e+00 -1.19795989e+00 
 5.62341325e+09 -1.97460234e+00 -1.19776932e+00 
 5.75439937e+09 -2.02081478e+00 -1.19633341e+00 
 5.88843655e+09 -2.06832332e+00 -1.19355309e+00 
 6.02559586e+09 -2.11712715e+00 -1.18932499e+00 
 6.16595002e+09 -2.16722079e+00 -1.18354138e+00 
 6.30957344e+09 -2.21859363e+00 -1.17609025e+00 
 6.45654229e+09 -2.27122949e+00 -1.16685534e+00 
 6.60693448e+09 -2.32510612e+00 -1.15571626e+00 
 6.76082975e+09 -2.38019464e+00 -1.14254860e+00 
 6.91830971e+09 -2.43645908e+00 -1.12722412e+00 
 7.07945784e+09 -2.49385577e+00 -1.10961092e+00 
 7.24435960e+09 -2.55233276e+00 -1.08957375e+00 
 7.41310241e+09 -2.61182930e+00 -1.06697424e+00 
 7.58577575e+09 -2.67227518e+00 -1.04167136e+00 
 7.76247117e+09 -2.73359017e+00 -1.01352174e+00 
 7.94328235e+09 -2.79568339e+00 -9.82380201e-01 
 8.12830516e+09 -2.85845272e+00 -9.48100288e-01 
 8.31763771e+09 -2.92178416e+00 -9.10534876e-01 
 8.51138038e+09 -2.98555129e+00 -8.69536851e-01 
 8.70963590e+09 -3.04961468e+00 -8.24959868e-01 
 8.91250938e+09 -3.11382131e+00 -7.76659188e-01 
 9.12010839e+09 -3.17800407e+00 -7.24492582e-01 
 9.33254301e+09 -3.24198127e+00 -6.68321333e-01 
 9.54992586e+09 -3.30555620e+00 -6.08011306e-01 
 9.77237221e+09 -3.36851676e+00 -5.43434111e-01 
 1.00000000e+10 -3.43063509e+00 -4.74468344e-01 
 1.02329299e+10 -3.49166738e+00 -4.01000908e-01 
 1.04712855e+10 -3.55135365e+00 -3.22928423e-01 
 1.07151931e+10 -3.60941768e+00 -2.40158707e-01 
 1.09647820e+10 -3.66556708e+00 -1.52612332e-01 
 1.12201845e+10 -3.71949336e+00 -6.02242571e-02 
 1.14815362e+10 -3.77087225e+00  3.70544777e-02 
 1.17489755e+10 -3.81936407e+00  1.39255000e-01 
 1.20226443e+10 -3.86461427e+00  2.46388798e-01 
 1.23026877e+10 -3.90625415e+00  3.58445871e-01 
 1.25892541e+10 -3.94390168e+00  4.75392850e-01 
 1.28824955e+10 -3.97716261e+00  5.97171090e-01 
 1.31825674e+10 -4.00563164e+00  7.23694755e-01 
 1.34896288e+10 -4.02889388e+00  8.54848907e-01 
 1.38038426e+10 -4.04652648e+00  9.90487612e-01 
 1.41253754e+10 -4.05810046e+00  1.13043207e+00 
